City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Fortuna,US,2020-09-15 17:20:15,40.6,-124.16,66.99,77,1,8.05
274,Tacuarembo,UY,2020-09-15 17:15:19,-31.73,-55.98,60.66,55,66,11.23
275,Eureka,US,2020-09-15 17:20:00,40.8,-124.16,66.2,68,1,3.36
276,Noumea,NC,2020-09-15 17:20:16,-22.28,166.46,62.6,72,17,2.24
277,Warrington,GB,2020-09-15 17:19:03,53.39,-2.58,72.0,60,100,10.29
278,Gazimurskiy Zavod,RU,2020-09-15 17:20:16,51.55,118.33,43.02,83,95,1.7
279,Saint Anthony,US,2020-09-15 17:20:17,45.02,-93.22,75.0,56,1,14.99
280,Fare,PF,2020-09-15 17:20:17,-16.7,-151.02,78.15,76,1,17.76
281,Misratah,LY,2020-09-15 17:20:17,32.38,15.09,80.06,70,76,19.91
282,Hong Gai,VN,2020-09-15 17:20:18,20.96,107.09,84.2,89,20,3.36
283,Sinnamary,GF,2020-09-15 17:20:19,5.38,-52.95,82.51,73,22,6.02
284,Kedrovyy,RU,2020-09-15 17:20:19,56.17,91.82,42.8,100,39,5.57
285,Kavaratti,IN,2020-09-15 17:20:20,10.57,72.64,81.88,81,32,17.6
286,Barrow,US,2020-09-15 17:20:20,71.29,-156.79,35.6,93,90,24.16
287,Chardara,KZ,2020-09-15 17:20:21,41.25,67.97,70.45,31,0,2.75
288,Manta,EC,2020-09-15 17:20:17,-0.95,-80.73,82.4,69,75,3.36
289,Shumerlya,RU,2020-09-15 17:20:21,55.5,46.41,47.53,84,14,8.05
290,Nemuro,JP,2020-09-15 17:20:22,43.32,145.57,64.11,82,100,13.42
291,Solnechnyy,RU,2020-09-15 17:15:25,50.72,136.63,51.75,89,69,4.12
292,Waterloo,CA,2020-09-15 17:16:13,43.47,-80.52,64.99,63,40,16.11
293,Grindavik,IS,2020-09-15 17:20:23,63.84,-22.43,46.4,81,75,9.17
294,Natal,BR,2020-09-15 17:20:25,-5.79,-35.21,86.0,51,20,21.92
295,Klaksvik,FO,2020-09-15 17:20:26,62.23,-6.59,49.59,82,49,3.18
296,Centralia,US,2020-09-15 17:16:13,46.72,-122.95,64.99,100,75,1.52
297,Mabaruma,GY,2020-09-15 17:20:26,8.2,-59.78,87.06,69,95,4.34
298,Obo,CF,2020-09-15 17:20:27,5.4,26.49,72.59,91,98,1.39
299,Ancud,CL,2020-09-15 17:20:27,-41.87,-73.82,43.0,82,100,5.99
300,Niquero,CU,2020-09-15 17:20:27,20.04,-77.58,85.84,71,100,3.49
301,Kropotkin,RU,2020-09-15 17:20:27,45.44,40.58,70.34,40,0,5.55
302,Hami,CN,2020-09-15 17:20:28,42.8,93.45,68.34,21,100,6.93
303,Koygorodok,RU,2020-09-15 17:20:28,60.45,51.0,43.77,96,94,6.69
304,Xinyu,CN,2020-09-15 17:20:29,27.8,114.93,71.29,95,98,4.59
305,Amapa,BR,2020-09-15 17:18:25,1.0,-52.0,92.82,40,37,4.18
